"time_period","time_identifier","geographic_level","country_code","country_name","subject_recoded","total_trainees"
"201718","Academic year","National","E92000001","England","Art & Design","27"
"201718","Academic year","National","E92000001","England","Biology","48"
"201718","Academic year","National","E92000001","England","Business Studies","13"
"201718","Academic year","National","E92000001","England","Chemistry","15"
"201718","Academic year","National","E92000001","England","Computing","15"
"201718","Academic year","National","E92000001","England","Design & Technology","22"
"201718","Academic year","National","E92000001","England","Drama","17"
"201718","Academic year","National","E92000001","England","English","150"
"201718","Academic year","National","E92000001","England","Geography","19"
"201718","Academic year","National","E92000001","England","History","36"
"201718","Academic year","National","E92000001","England","Mathematics","99"
"201718","Academic year","National","E92000001","England","Modern Foreign Languages","20"
"201718","Academic year","National","E92000001","England","Music","21"
"201718","Academic year","National","E92000001","England","Other","49"
"201718","Academic year","National","E92000001","England","Physical Education","74"
"201718","Academic year","National","E92000001","England","Physics","17"
"201718","Academic year","National","E92000001","England","Religious Education","14"
"201718","Academic year","National","E92000001","England","Primary","606"
"201718","Academic year","National","E92000001","England","Secondary","656"
"201718","Academic year","National","E92000001","England","Total","1262"
"201819","Academic year","National","E92000001","England","Art & Design","26"
"201819","Academic year","National","E92000001","England","Biology","52"
"201819","Academic year","National","E92000001","England","Business Studies","20"
"201819","Academic year","National","E92000001","England","Chemistry","17"
"201819","Academic year","National","E92000001","England","Classics","3"
"201819","Academic year","National","E92000001","England","Computing","15"
"201819","Academic year","National","E92000001","England","Design & Technology","14"
"201819","Academic year","National","E92000001","England","Drama","28"
"201819","Academic year","National","E92000001","England","English","197"
"201819","Academic year","National","E92000001","England","Geography","21"
"201819","Academic year","National","E92000001","England","History","38"
"201819","Academic year","National","E92000001","England","Mathematics","131"
"201819","Academic year","National","E92000001","England","Modern Foreign Languages","15"
"201819","Academic year","National","E92000001","England","Music","25"
"201819","Academic year","National","E92000001","England","Other","36"
"201819","Academic year","National","E92000001","England","Physical Education","104"
"201819","Academic year","National","E92000001","England","Physics","22"
"201819","Academic year","National","E92000001","England","Religious Education","27"
"201819","Academic year","National","E92000001","England","Primary","708"
"201819","Academic year","National","E92000001","England","Secondary","791"
"201819","Academic year","National","E92000001","England","Total","1499"
"201920","Academic year","National","E92000001","England","Art & Design","29"
"201920","Academic year","National","E92000001","England","Biology","25"
"201920","Academic year","National","E92000001","England","Business Studies","21"
"201920","Academic year","National","E92000001","England","Chemistry","11"
"201920","Academic year","National","E92000001","England","Classics","3"
"201920","Academic year","National","E92000001","England","Computing","10"
"201920","Academic year","National","E92000001","England","Design & Technology","25"
"201920","Academic year","National","E92000001","England","Drama","11"
"201920","Academic year","National","E92000001","England","English","128"
"201920","Academic year","National","E92000001","England","Geography","19"
"201920","Academic year","National","E92000001","England","History","42"
"201920","Academic year","National","E92000001","England","Mathematics","93"
"201920","Academic year","National","E92000001","England","Modern Foreign Languages","15"
"201920","Academic year","National","E92000001","England","Music","22"
"201920","Academic year","National","E92000001","England","Other","25"
"201920","Academic year","National","E92000001","England","Physical Education","64"
"201920","Academic year","National","E92000001","England","Physics","38"
"201920","Academic year","National","E92000001","England","Religious Education","15"
"201920","Academic year","National","E92000001","England","Primary","614"
"201920","Academic year","National","E92000001","England","Secondary","596"
"201920","Academic year","National","E92000001","England","Total","1210"
"202021","Academic year","National","E92000001","England","Art & Design","33"
"202021","Academic year","National","E92000001","England","Biology","65"
"202021","Academic year","National","E92000001","England","Business Studies","19"
"202021","Academic year","National","E92000001","England","Chemistry","9"
"202021","Academic year","National","E92000001","England","Classics","4"
"202021","Academic year","National","E92000001","England","Computing","17"
"202021","Academic year","National","E92000001","England","Design & Technology","33"
"202021","Academic year","National","E92000001","England","Drama","31"
"202021","Academic year","National","E92000001","England","English","150"
"202021","Academic year","National","E92000001","England","Geography","12"
"202021","Academic year","National","E92000001","England","History","35"
"202021","Academic year","National","E92000001","England","Mathematics","89"
"202021","Academic year","National","E92000001","England","Modern Foreign Languages","24"
"202021","Academic year","National","E92000001","England","Music","27"
"202021","Academic year","National","E92000001","England","Other","41"
"202021","Academic year","National","E92000001","England","Physical Education","97"
"202021","Academic year","National","E92000001","England","Physics","9"
"202021","Academic year","National","E92000001","England","Religious Education","29"
"202021","Academic year","National","E92000001","England","Primary","747"
"202021","Academic year","National","E92000001","England","Secondary","724"
"202021","Academic year","National","E92000001","England","Total","1471"
"202122","Academic year","National","E92000001","England","Art & Design","44"
"202122","Academic year","National","E92000001","England","Biology","30"
"202122","Academic year","National","E92000001","England","Business Studies","29"
"202122","Academic year","National","E92000001","England","Chemistry","16"
"202122","Academic year","National","E92000001","England","Classics","5"
"202122","Academic year","National","E92000001","England","Computing","20"
"202122","Academic year","National","E92000001","England","Design & Technology","42"
"202122","Academic year","National","E92000001","England","Drama","35"
"202122","Academic year","National","E92000001","England","English","145"
"202122","Academic year","National","E92000001","England","Geography","18"
"202122","Academic year","National","E92000001","England","History","24"
"202122","Academic year","National","E92000001","England","Mathematics","125"
"202122","Academic year","National","E92000001","England","Modern Foreign Languages","28"
"202122","Academic year","National","E92000001","England","Music","32"
"202122","Academic year","National","E92000001","England","Other","89"
"202122","Academic year","National","E92000001","England","Physical Education","98"
"202122","Academic year","National","E92000001","England","Physics","22"
"202122","Academic year","National","E92000001","England","Religious Education","17"
"202122","Academic year","National","E92000001","England","Primary","612"
"202122","Academic year","National","E92000001","England","Secondary","819"
"202122","Academic year","National","E92000001","England","Total","1431"
